name,description,type,level,sort,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","","Bài 17","Ngữ pháp","840","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson17,'}}"
"","","","","","","","","","Bài 18","Ngữ pháp","841","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson18,'}}"
"","","","","","","","","","Bài 19","Ngữ pháp","842","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson19,'}}"
"","","","","","","","","","Bài 20","Ngữ pháp","843","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson20,'}}"
"","","","","","","","","","Bài 21","Ngữ pháp","844","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',173nguphapn2,lesson21,'}}"
"List Kanji N4","Kanji N4 dựa theo chuẩn của JLPT","kanji","N4","2200","30","30","","","Bài 1","Kanji","845","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","846","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson1,'}}"
"","","","","","","","","","Bài 2","Kanji","847","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","848","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson2,'}}"
"","","","","","","","","","Bài 3","Kanji","849","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","850","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson3,'}}"
"","","","","","","","","","Bài 4","Kanji","851","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson4,'}}"
"","","","","","","","","","Bài 4","Luyện tập","852","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson4,'}}"
"","","","","","","","","","Bài 5","Kanji","853","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","854","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson5,'}}"
"","","","","","","","","","Bài 6","Kanji","855","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","856","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson6,'}}"
"","","","","","","","","","Bài 7","Kanji","857","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","858","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson7,'}}"
"","","","","","","","","","Bài 8","Kanji","859","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","860","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson8,'}}"
"","","","","","","","","","Bài 9","Kanji","861","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","862","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson9,'}}"
"","","","","","","","","","Bài 10","Kanji","863","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","864","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson10,'}}"
"","","","","","","","","","Bài 11","Kanji","865","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","866","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson11,'}}"
"","","","","","","","","","Bài 12","Kanji","867","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","868","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson12,'}}"
"","","","","","","","","","Bài 13","Kanji","869","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","870","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson13,'}}"
"","","","","","","","","","Bài 14","Kanji","871","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","872","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson14,'}}"
"","","","","","","","","","Bài 15","Kanji","873","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","874","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson15,'}}"
"","","","","","","","","","Bài 16","Kanji","875","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","876","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson16,'}}"
"","","","","","","","","","Bài 17","Kanji","877","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","878","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson17,'}}"
"","","","","","","","","","Bài 18","Kanji","879","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","880","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson18,'}}"
"","","","","","","","","","Bài 19","Kanji","881","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","882","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson19,'}}"
"","","","","","","","","","Bài 20","Kanji","883","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","884","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson20,'}}"
"","","","","","","","","","Bài 21","Kanji","885","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","886","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson21,'}}"
"","","","","","","","","","Bài 22","Kanji","887","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","888","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson22,'}}"
"","","","","","","","","","Bài 23","Kanji","889","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson23,'}}"
"","","","","","","","","","Bài 23","Luyện tập","890","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson23,'}}"
"","","","","","","","","","Bài 24","Kanji","891","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson24,'}}"
"","","","","","","","","","Bài 24","Luyện tập","892","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson24,'}}"
"","","","","","","","","","Bài 25","Kanji","893","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson25,'}}"
"","","","","","","","","","Bài 25","Luyện tập","894","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson25,'}}"
"","","","","","","","","","Bài 26","Kanji","895","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson26,'}}"
"","","","","","","","","","Bài 26","Luyện tập","896","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson26,'}}"
"","","","","","","","","","Bài 27","Kanji","897","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson27,'}}"
"","","","","","","","","","Bài 27","Luyện tập","898","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson27,'}}"
"","","","","","","","","","Bài 28","Kanji","899","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson28,'}}"
"","","","","","","","","","Bài 28","Luyện tập","900","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson28,'}}"
"","","","","","","","","","Bài 29","Kanji","901","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson29,'}}"
"","","","","","","","","","Bài 29","Luyện tập","902","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson29,'}}"
"","","","","","","","","","Bài 30","Kanji","903","kanji/lesson","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson30,'}}"
"","","","","","","","","","Bài 30","Luyện tập","904","kanji/practice","kanji","{'level': 'N4', 'tag' : {'contains':',jlptkanji,lesson30,'}}"
"List Kanji N5","Kanji N5 dựa theo chuẩn của JLPT","kanji","N5","1200","17","17","","","Bài 1","Kanji","905","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","906","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson1,'}}"
"","","","","","","","","","Bài 2","Kanji","907","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","908","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson2,'}}"
"","","","","","","","","","Bài 3","Kanji","909","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","910","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson3,'}}"
"","","","","","","","","","Bài 4","Kanji","911","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson4,'}}"
"","","","","","","","","","Bài 4","Luyện tập","912","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson4,'}}"
"","","","","","","","","","Bài 5","Kanji","913","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","914","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson5,'}}"
"","","","","","","","","","Bài 6","Kanji","915","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","916","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson6,'}}"
"","","","","","","","","","Bài 7","Kanji","917","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","918","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson7,'}}"
"","","","","","","","","","Bài 8","Kanji","919","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","920","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson8,'}}"
"","","","","","","","","","Bài 9","Kanji","921","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","922","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson9,'}}"
"","","","","","","","","","Bài 10","Kanji","923","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","924","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson10,'}}"
"","","","","","","","","","Bài 11","Kanji","925","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","926","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson11,'}}"
"","","","","","","","","","Bài 12","Kanji","927","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","928","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson12,'}}"
"","","","","","","","","","Bài 13","Kanji","929","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","930","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson13,'}}"
"","","","","","","","","","Bài 14","Kanji","931","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","932","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson14,'}}"
"","","","","","","","","","Bài 15","Kanji","933","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","934","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson15,'}}"
"","","","","","","","","","Bài 16","Kanji","935","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","936","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson16,'}}"
"","","","","","","","","","Bài 17","Kanji","937","kanji/lesson","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","938","kanji/practice","kanji","{'level': 'N5', 'tag' : {'contains':',jlptkanji,lesson17,'}}"
"List Kanji N3","Kanji N3 dựa theo chuẩn của JLPT","kanji","N3","3200","36","36","","","Bài 1","Kanji","939","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","940","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson1,'}}"
"","","","","","","","","","Bài 2","Kanji","941","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","942","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson2,'}}"
"","","","","","","","","","Bài 3","Kanji","943","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","944","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson3,'}}"
"","","","","","","","","","Bài 4","Kanji","945","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson4,'}}"
"","","","","","","","","","Bài 4","Luyện tập","946","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson4,'}}"
"","","","","","","","","","Bài 5","Kanji","947","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","948","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson5,'}}"
"","","","","","","","","","Bài 6","Kanji","949","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","950","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson6,'}}"
"","","","","","","","","","Bài 7","Kanji","951","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","952","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson7,'}}"
"","","","","","","","","","Bài 8","Kanji","953","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","954","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson8,'}}"
"","","","","","","","","","Bài 9","Kanji","955","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","956","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson9,'}}"
"","","","","","","","","","Bài 10","Kanji","957","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","958","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson10,'}}"
"","","","","","","","","","Bài 11","Kanji","959","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","960","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson11,'}}"
"","","","","","","","","","Bài 12","Kanji","961","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","962","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson12,'}}"
"","","","","","","","","","Bài 13","Kanji","963","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","964","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson13,'}}"
"","","","","","","","","","Bài 14","Kanji","965","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","966","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson14,'}}"
"","","","","","","","","","Bài 15","Kanji","967","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","968","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson15,'}}"
"","","","","","","","","","Bài 16","Kanji","969","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","970","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson16,'}}"
"","","","","","","","","","Bài 17","Kanji","971","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","972","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson17,'}}"
"","","","","","","","","","Bài 18","Kanji","973","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","974","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson18,'}}"
"","","","","","","","","","Bài 19","Kanji","975","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","976","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson19,'}}"
"","","","","","","","","","Bài 20","Kanji","977","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","978","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson20,'}}"
"","","","","","","","","","Bài 21","Kanji","979","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","980","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson21,'}}"
"","","","","","","","","","Bài 22","Kanji","981","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","982","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson22,'}}"
"","","","","","","","","","Bài 23","Kanji","983","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson23,'}}"
"","","","","","","","","","Bài 23","Luyện tập","984","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson23,'}}"
"","","","","","","","","","Bài 24","Kanji","985","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson24,'}}"
"","","","","","","","","","Bài 24","Luyện tập","986","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson24,'}}"
"","","","","","","","","","Bài 25","Kanji","987","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson25,'}}"
"","","","","","","","","","Bài 25","Luyện tập","988","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson25,'}}"
"","","","","","","","","","Bài 26","Kanji","989","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson26,'}}"
"","","","","","","","","","Bài 26","Luyện tập","990","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson26,'}}"
"","","","","","","","","","Bài 27","Kanji","991","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson27,'}}"
"","","","","","","","","","Bài 27","Luyện tập","992","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson27,'}}"
"","","","","","","","","","Bài 28","Kanji","993","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson28,'}}"
"","","","","","","","","","Bài 28","Luyện tập","994","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson28,'}}"
"","","","","","","","","","Bài 29","Kanji","995","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson29,'}}"
"","","","","","","","","","Bài 29","Luyện tập","996","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson29,'}}"
"","","","","","","","","","Bài 30","Kanji","997","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson30,'}}"
"","","","","","","","","","Bài 30","Luyện tập","998","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson30,'}}"
"","","","","","","","","","Bài 31","Kanji","999","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson31,'}}"
"","","","","","","","","","Bài 31","Luyện tập","1000","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson31,'}}"
"","","","","","","","","","Bài 32","Kanji","1001","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson32,'}}"
"","","","","","","","","","Bài 32","Luyện tập","1002","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson32,'}}"
"","","","","","","","","","Bài 33","Kanji","1003","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson33,'}}"
"","","","","","","","","","Bài 33","Luyện tập","1004","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson33,'}}"
"","","","","","","","","","Bài 34","Kanji","1005","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson34,'}}"
"","","","","","","","","","Bài 34","Luyện tập","1006","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson34,'}}"
"","","","","","","","","","Bài 35","Kanji","1007","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson35,'}}"
"","","","","","","","","","Bài 35","Luyện tập","1008","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson35,'}}"
"","","","","","","","","","Bài 36","Kanji","1009","kanji/lesson","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson36,'}}"
"","","","","","","","","","Bài 36","Luyện tập","1010","kanji/practice","kanji","{'level': 'N3', 'tag' : {'contains':',jlptkanjiN3,lesson36,'}}"
"Master Grammar N2","Tổng hợp 247 mẫu ngữ pháp Tiếng Nhật trình độ tương đương 2級","grammar","N2","4301","35","70","1","1","Bài 1","Ngữ pháp","1011","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson1,'}}"
"","","","","","","","","","Bài 2","Ngữ pháp","1012","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson2,'}}"
"","","","","","","","","","Bài 3","Ngữ pháp","1013","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson3,'}}"
"","","","","","","","","","Bài 4","Ngữ pháp","1014","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson4,'}}"
"","","","","","","","","","Bài 5","Ngữ pháp","1015","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson5,'}}"
"","","","","","","","","","Bài 6","Ngữ pháp","1016","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson6,'}}"
"","","","","","","","","","Bài 7","Ngữ pháp","1017","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson7,'}}"
"","","","","","","","","","Bài 8","Ngữ pháp","1018","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson8,'}}"
"","","","","","","","","","Bài 9","Ngữ pháp","1019","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson9,'}}"
"","","","","","","","","","Bài 10","Ngữ pháp","1020","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson10,'}}"
"","","","","","","","","","Bài 11","Ngữ pháp","1021","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson11,'}}"
"","","","","","","","","","Bài 12","Ngữ pháp","1022","grammar","grammar","{'level': 'N2', 'tag' : {'contains':',BSEGrammar,lesson12,'}}"
