name,description,type,level,sort,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","","Bài 25","Từ vựng","49","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson25,'}}"
"","","","","","","","","","Bài 25","Luyện tập","50","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson25,'}}"
"","","","","","","","","","Bài 26","Từ vựng","51","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson26,'}}"
"","","","","","","","","","Bài 26","Luyện tập","52","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson26,'}}"
"","","","","","","","","","Bài 27","Từ vựng","53","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson27,'}}"
"","","","","","","","","","Bài 27","Luyện tập","54","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson27,'}}"
"","","","","","","","","","Bài 28","Từ vựng","55","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson28,'}}"
"","","","","","","","","","Bài 28","Luyện tập","56","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson28,'}}"
"","","","","","","","","","Bài 29","Từ vựng","57","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson29,'}}"
"","","","","","","","","","Bài 29","Luyện tập","58","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson29,'}}"
"","","","","","","","","","Bài 30","Từ vựng","59","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson30,'}}"
"","","","","","","","","","Bài 30","Luyện tập","60","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson30,'}}"
"","","","","","","","","","Bài 31","Từ vựng","61","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson31,'}}"
"","","","","","","","","","Bài 31","Luyện tập","62","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson31,'}}"
"","","","","","","","","","Bài 32","Từ vựng","63","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson32,'}}"
"","","","","","","","","","Bài 32","Luyện tập","64","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson32,'}}"
"","","","","","","","","","Bài 33","Từ vựng","65","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson33,'}}"
"","","","","","","","","","Bài 33","Luyện tập","66","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson33,'}}"
"","","","","","","","","","Bài 34","Từ vựng","67","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson34,'}}"
"","","","","","","","","","Bài 34","Luyện tập","68","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson34,'}}"
"","","","","","","","","","Bài 35","Từ vựng","69","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson35,'}}"
"","","","","","","","","","Bài 35","Luyện tập","70","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson35,'}}"
"","","","","","","","","","Bài 36","Từ vựng","71","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson36,'}}"
"","","","","","","","","","Bài 36","Luyện tập","72","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson36,'}}"
"","","","","","","","","","Bài 37","Từ vựng","73","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson37,'}}"
"","","","","","","","","","Bài 37","Luyện tập","74","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson37,'}}"
"","","","","","","","","","Bài 38","Từ vựng","75","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson38,'}}"
"","","","","","","","","","Bài 38","Luyện tập","76","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson38,'}}"
"","","","","","","","","","Bài 39","Từ vựng","77","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson39,'}}"
"","","","","","","","","","Bài 39","Luyện tập","78","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson39,'}}"
"","","","","","","","","","Bài 40","Từ vựng","79","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson40,'}}"
"","","","","","","","","","Bài 40","Luyện tập","80","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson40,'}}"
