# Nam 1 tieu hoc
13143200,資
13174200,飼
05102200,示
0711200,似
1913200,識
15105200,質
0812200,舎
1735200,謝
11101200,授
1006200,修
08101200,述
11202200,術
1381200,準
0779200,序
08127200,招
uketamawaru200,承
12204200,証
07127200,条
07145200,状
1143200,常
1191200,情
1819200,織
1822200,職
0825200,制
08115200,性
0995200,政
1309200,勢
1480200,精
14102200,製
12166200,税
11215200,責
1727200,績
11105200,接
11209200,設
06125200,舌
12184200,絶
14123200,銭
09166200,祖
10188200,素
1485200,総
1073200,造
1402200,像
1408200,増
0916200,則
12136200,測
1240200,属
11150200,率
1355200,損
0971200,退
12212200,貸
1431200,態
0655200,団
11116200,断
1646200,築
1151200,張
1291200,提
12167200,程
1425200,適
1542200,敵
12185200,統
14125200,銅
1515200,導
1420200,徳
09143200,独
0619200,任
1638200,燃
10200200,能
10170200,破
0585200,犯
0730200,判
08186200,版
0464200,比
08204200,肥
hi200,非
1203200,備
1012200,俵
12208200,評
11217200,貧
0557200,布
1132200,婦
1236200,富
bu200,武
1253200,復
14103200,複
0416200,仏
1583200,編
0531200,弁
0912200,保
1318200,墓
1229200,報
13141200,豊
0795200,防
12216200,貿
1545200,暴
1115200,務
1319200,夢
0973200,迷
1488200,綿
1665200,輸
0720200,余
13173200,預
1047200,容
11158200,略
10160200,留
14134200,領
07104200,快
# Nam 6 tieu hoc
11157200,異
1523200,遺
1122200,域
0668200,宇
0997200,映
0882200,延
08168200,沿
07105200,我
06108200,灰
08123200,拡
09204200,革
14127200,閣
1207200,割
10125200,株
0331200,干
0951200,巻
09154200,看
1816200,簡
0640200,危
0694200,机
12211200,貴
1466200,疑
0644200,吸
0809200,供
10196200,胸
1181200,郷
1210200,勤
12171200,筋
07155200,系
1296200,敬
1912200,警
1505200,劇
1634200,激
05104200,穴
13114200,絹
1549200,権
1622200,憲
1378200,源
1705200,厳
0329200,己
0841200,呼
14106200,誤
0646200,后
0769200,孝
09152200,皇
09176200,紅
1083200,降
1667200,鋼
0822200,刻
1472200,穀
